player_name,team_name,position,price,total_points,points_per_game,form,minutes,selected_by_percent,expected_goals,expected_assists,expected_goal_involvements,xgi_per_90,value_season
Carlos Baleba,Brighton,MID,5.0,0,0.0,0.0,0,0.2,0.0,0.0,0.0,0.0,0.0
Harry Howell,Brighton,MID,4.5,0,0.0,0.0,0,0.1,0.0,0.0,0.0,0.0,0.0
Tom Watson,Brighton,MID,5.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Nehemiah Oriola,Brighton,MID,4.5,0,0.0,0.0,0,0.3,0.0,0.0,0.0,0.0,0.0
Zadok Yohanna,Brighton,MID,5.0,1,1.0,1.0,12,0.1,0.0,0.02,0.02,0.15000000000000002,0.2
Stefanos Tzimas,Brighton,FWD,5.5,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Charalampos Kostoulas,Brighton,FWD,5.5,1,1.0,1.0,26,0.2,0.16,0.0,0.16,0.5538461538461539,0.18181818181818182
Evan Ferguson,Brighton,FWD,5.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Pascal Struijk,Brighton,DEF,5.0,0,0.0,0.0,0,0.2,0.0,0.0,0.0,0.0,0.0
Luka Vušković,Brighton,DEF,5.0,6,6.0,6.0,90,2.5,0.19,0.03,0.22,0.22,1.2
Promise David,Brighton,FWD,6.0,0,0.0,0.0,0,0.3,0.0,0.0,0.0,0.0,0.0
Ibrahim Osman,Brighton,MID,5.0,1,1.0,1.0,12,0.0,0.0,0.05,0.05,0.375,0.2
Malick Yalcouyé,Brighton,MID,4.5,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Morgan Rogers,Chelsea,MID,7.5,0,0.0,0.0,0,24.4,0.0,0.0,0.0,0.0,0.0
Jordan Henderson,Chelsea,MID,5.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Danny Welbeck,Chelsea,FWD,6.0,0,0.0,0.0,0,1.1,0.0,0.0,0.0,0.0,0.0
Robert Lynch Sánchez,Chelsea,GK,5.0,0,0.0,0.0,0,2.4,0.0,0.0,0.0,0.0,0.0
Filip Jörgensen,Chelsea,GK,5.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Reece James,Chelsea,DEF,5.5,0,0.0,0.0,0,10.3,0.0,0.0,0.0,0.0,0.0
Trevoh Chalobah,Chelsea,DEF,5.5,0,0.0,0.0,0,0.2,0.0,0.0,0.0,0.0,0.0
Malo Gusto,Chelsea,DEF,5.0,0,0.0,0.0,0,1.2,0.0,0.0,0.0,0.0,0.0
Wesley Fofana,Chelsea,DEF,5.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Benoît Badiashile Mukinayi,Chelsea,DEF,4.5,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Tosin Adarabioyo,Chelsea,DEF,4.5,0,0.0,0.0,0,0.2,0.0,0.0,0.0,0.0,0.0
Jorrel Hato,Chelsea,DEF,4.5,0,0.0,0.0,0,0.5,0.0,0.0,0.0,0.0,0.0
Levi Samuels Colwill,Chelsea,DEF,5.0,0,0.0,0.0,0,1.6,0.0,0.0,0.0,0.0,0.0
Mamadou Sarr,Chelsea,DEF,4.5,0,0.0,0.0,0,0.1,0.0,0.0,0.0,0.0,0.0
Josh Acheampong,Chelsea,DEF,4.5,0,0.0,0.0,0,0.3,0.0,0.0,0.0,0.0,0.0
Marco Palestra,Chelsea,DEF,5.5,0,0.0,0.0,0,3.0,0.0,0.0,0.0,0.0,0.0
Axel Disasi,Chelsea,DEF,4.5,0,0.0,0.0,0,0.1,0.0,0.0,0.0,0.0,0.0
Cole Palmer,Chelsea,MID,9.5,0,0.0,0.0,0,10.6,0.0,0.0,0.0,0.0,0.0
